request type,LIC
POST /api/v1/adminbasicservice/adminbasic/configs,2
DELETE /api/v1/adminbasicservice/adminbasic/prices,2
PUT /api/v1/admintravelservice/admintravel,2
GET /api/v1/adminbasicservice/adminbasic/prices,2
POST /api/v1/preserveotherservice/preserveOther,81
PUT /api/v1/adminbasicservice/adminbasic/prices,2
DELETE /api/v1/adminuserservice/users/{userId},3
POST /api/v1/users/login,2
POST /api/v1/adminbasicservice/adminbasic/trains,2
GET /api/v1/admintravelservice/admintravel,23
GET /api/v1/adminorderservice/adminorder,3
DELETE /api/v1/adminbasicservice/adminbasic/stations,2
POST /api/v1/orderOtherService/orderOther/refresh,2
PUT /api/v1/adminuserservice/users,2
POST /api/v1/orderservice/order/refresh,2
POST /api/v1/travel2service/trips/left,55
POST /api/v1/rebookservice/rebook,57
GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},7
DELETE /api/v1/adminbasicservice/adminbasic/trains/{id},2
POST /api/v1/admintravelservice/admintravel,2
DELETE /api/v1/adminorderservice/adminorder/{orderId}/{trainNumber},2
PUT /api/v1/adminbasicservice/adminbasic/contacts,2
POST /api/v1/travelplanservice/travelPlan/quickest,92
POST /api/v1/preserveservice/preserve,75
GET /api/v1/executeservice/execute/collected/{orderId},4
GET /api/v1/adminbasicservice/adminbasic/contacts,2
GET /api/v1/adminbasicservice/adminbasic/trains,2
DELETE /api/v1/admintravelservice/admintravel/{tripId},2
GET /api/v1/contactservice/contacts/account/{accountId},1
GET /api/v1/adminbasicservice/adminbasic/configs,2
PUT /api/v1/adminbasicservice/adminbasic/trains,2
PUT /api/v1/consignservice/consigns,2
POST /api/v1/adminbasicservice/adminbasic/stations,2
POST /api/v1/adminbasicservice/adminbasic/prices,2
GET /api/v1/executeservice/execute/execute/{orderId},4
PUT /api/v1/adminorderservice/adminorder,2
PUT /api/v1/adminbasicservice/adminbasic/configs,2
POST /api/v1/travelservice/trips/left,49
DELETE /api/v1/adminrouteservice/adminroute/{routeId},2
DELETE /api/v1/adminbasicservice/adminbasic/configs/{name},2
GET /api/v1/cancelservice/cancel/{orderId}/{loginId},5
POST /api/v1/adminrouteservice/adminroute,2
GET /api/v1/consignservice/consigns/order/{id},1
DELETE /api/v1/adminbasicservice/adminbasic/contacts/{contactsId},2
POST /api/v1/adminuserservice/users,3
GET /api/v1/consignservice/consigns/account/{id},1
GET /api/v1/adminuserservice/users,2
POST /api/v1/adminbasicservice/adminbasic/contacts,2
POST /api/v1/inside_pay_service/inside_payment,3
GET /api/v1/adminbasicservice/adminbasic/stations,2
GET /api/v1/adminrouteservice/adminroute,2
POST /api/v1/adminorderservice/adminorder,2
PUT /api/v1/adminbasicservice/adminbasic/stations,2
