request type,RCD-IN,RCD-SE
GET /api/v1/adminbasicservice/adminbasic/contacts,,
POST /api/v1/travelplanservice/travelPlan/quickest,,"ts-seat-service->ts-travel-service->,"
GET /api/v1/adminbasicservice/adminbasic/stations,,
POST /api/v1/rebookservice/rebook,,"ts-seat-service->ts-travel-service->,"
GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},,
GET /api/v1/cancelservice/cancel/{orderId}/{loginId},,
POST /api/v1/admintravelservice/admintravel,,
PUT /api/v1/adminbasicservice/adminbasic/stations,,
GET /api/v1/adminrouteservice/adminroute,,
PUT /api/v1/adminbasicservice/adminbasic/configs,,
POST /api/v1/adminorderservice/adminorder,,
POST /api/v1/travel2service/trips/left,,"ts-seat-service->ts-travel2-service->,"
POST /api/v1/adminrouteservice/adminroute,,
DELETE /api/v1/adminorderservice/adminorder/{orderId}/{trainNumber},,
DELETE /api/v1/adminbasicservice/adminbasic/prices,,
PUT /api/v1/consignservice/consigns,,
GET /api/v1/adminbasicservice/adminbasic/trains,,
POST /api/v1/orderOtherService/orderOther/refresh,,
PUT /api/v1/adminuserservice/users,,
DELETE /api/v1/admintravelservice/admintravel/{tripId},,
PUT /api/v1/adminbasicservice/adminbasic/trains,,
POST /api/v1/users/login,,
GET /api/v1/admintravelservice/admintravel,,
POST /api/v1/adminbasicservice/adminbasic/stations,,
DELETE /api/v1/adminbasicservice/adminbasic/contacts/{contactsId},,
PUT /api/v1/adminbasicservice/adminbasic/contacts,,
DELETE /api/v1/adminrouteservice/adminroute/{routeId},,
DELETE /api/v1/adminbasicservice/adminbasic/stations,,
POST /api/v1/adminuserservice/users,,
DELETE /api/v1/adminbasicservice/adminbasic/configs/{name},,
GET /api/v1/contactservice/contacts/account/{accountId},,
GET /api/v1/adminuserservice/users,,
GET /api/v1/consignservice/consigns/order/{id},,
GET /api/v1/executeservice/execute/collected/{orderId},,
POST /api/v1/adminbasicservice/adminbasic/prices,,
GET /api/v1/adminbasicservice/adminbasic/prices,,
POST /api/v1/orderservice/order/refresh,,
POST /api/v1/adminbasicservice/adminbasic/configs,,
GET /api/v1/executeservice/execute/execute/{orderId},,
POST /api/v1/inside_pay_service/inside_payment,,
GET /api/v1/consignservice/consigns/account/{id},,
POST /api/v1/adminbasicservice/adminbasic/contacts,,
PUT /api/v1/adminbasicservice/adminbasic/prices,,
POST /api/v1/adminbasicservice/adminbasic/trains,,
PUT /api/v1/admintravelservice/admintravel,,
POST /api/v1/preserveotherservice/preserveOther,,"ts-seat-service->ts-travel2-service->,"
DELETE /api/v1/adminbasicservice/adminbasic/trains/{id},,
DELETE /api/v1/adminuserservice/users/{userId},,
GET /api/v1/adminbasicservice/adminbasic/configs,,
POST /api/v1/preserveservice/preserve,,"ts-seat-service->ts-travel-service->,"
PUT /api/v1/adminorderservice/adminorder,,
GET /api/v1/adminorderservice/adminorder,,
POST /api/v1/travelservice/trips/left,,"ts-seat-service->ts-travel-service->,"
