service name ,DAH,PIH,SIH
ts-admin-basic-info-service,1,1,0.157894737
ts-admin-order-service,1,1,0.75
ts-admin-route-service,1,1,1
ts-admin-travel-service,1,1,0.625
ts-admin-user-service,1,1,0.666666667
ts-assurance-service,1,1,1
ts-auth-service,0.833333333,0.333333333,0.333333333
ts-basic-service,1,1,0.25
ts-cancel-service,1,1,1
ts-config-service,1,0.6,1
ts-consign-price-service,1,1,1
ts-consign-service,1,0.5,0.333333333
ts-contacts-service,1,0.4,1
ts-execute-service,1,1,1
ts-food-map-service,0.2,1,1
ts-food-service,1,0,0
ts-inside-payment-service,0.666666667,0,0.333333333
ts-notification-service,1,1,1
ts-order-other-service,1,0.027777778,0.777777778
ts-order-service,1,0.098484848,0.833333333
ts-preserve-other-service,1,1,1
ts-preserve-service,1,1,1
ts-price-service,1,0.6,1
ts-rebook-service,1,1,1
ts-route-plan-service,1,1,1
ts-route-service,0.8,0.5,1
ts-seat-service,1,0,0.857142857
ts-security-service,1,1,1
ts-station-service,1,0.285714286,1
ts-ticketinfo-service,1,0.4,0.4
ts-train-service,1,0.6,1
ts-travel2-service,1,0.25,0.198809524
ts-travel-plan-service,1,1,1
ts-travel-service,1,0.066666667,0.28
ts-user-service,1,0.6,0.4
ts-verification-code-service,1,1,1
